,population,state,county
0,4903185,Alabama,Alabama
1,55869,Alabama,Autauga County
2,223234,Alabama,Baldwin County
3,24686,Alabama,Barbour County
4,22394,Alabama,Bibb County
5,57826,Alabama,Blount County
6,10101,Alabama,Bullock County
7,19448,Alabama,Butler County
8,113605,Alabama,Calhoun County
9,33254,Alabama,Chambers County
10,26196,Alabama,Cherokee County
11,44428,Alabama,Chilton County
12,12589,Alabama,Choctaw County
13,23622,Alabama,Clarke County
14,13235,Alabama,Clay County
15,14910,Alabama,Cleburne County
16,52342,Alabama,Coffee County
17,55241,Alabama,Colbert County
18,12067,Alabama,Conecuh County
19,10663,Alabama,Coosa County
20,37049,Alabama,Covington County
21,13772,Alabama,Crenshaw County
22,83768,Alabama,Cullman County
23,49172,Alabama,Dale County
24,37196,Alabama,Dallas County
25,71513,Alabama,DeKalb County
26,81209,Alabama,Elmore County
27,36633,Alabama,Escambia County
28,102268,Alabama,Etowah County
29,16302,Alabama,Fayette County
30,31362,Alabama,Franklin County
31,26271,Alabama,Geneva County
32,8111,Alabama,Greene County
33,14651,Alabama,Hale County
34,17205,Alabama,Henry County
35,105882,Alabama,Houston County
36,51626,Alabama,Jackson County
37,658573,Alabama,Jefferson County
38,13805,Alabama,Lamar County
39,92729,Alabama,Lauderdale County
40,32924,Alabama,Lawrence County
41,164542,Alabama,Lee County
42,98915,Alabama,Limestone County
43,9726,Alabama,Lowndes County
44,18068,Alabama,Macon County
45,372909,Alabama,Madison County
46,18863,Alabama,Marengo County
47,29709,Alabama,Marion County
48,96774,Alabama,Marshall County
49,413210,Alabama,Mobile County
50,20733,Alabama,Monroe County
51,226486,Alabama,Montgomery County
52,119679,Alabama,Morgan County
53,8923,Alabama,Perry County
54,19930,Alabama,Pickens County
55,33114,Alabama,Pike County
56,22722,Alabama,Randolph County
57,57961,Alabama,Russell County
58,89512,Alabama,St. Clair County
59,217702,Alabama,Shelby County
60,12427,Alabama,Sumter County
61,79978,Alabama,Talladega County
62,40367,Alabama,Tallapoosa County
63,209355,Alabama,Tuscaloosa County
64,63521,Alabama,Walker County
65,16326,Alabama,Washington County
66,10373,Alabama,Wilcox County
67,23629,Alabama,Winston County
68,731545,Alaska,Alaska
69,3337,Alaska,Aleutians East Borough
70,5634,Alaska,Aleutians West Census Area
71,288000,Alaska,Anchorage Municipality
72,18386,Alaska,Bethel Census Area
73,836,Alaska,Bristol Bay Borough
74,2097,Alaska,Denali Borough
75,4916,Alaska,Dillingham Census Area
76,96849,Alaska,Fairbanks North Star Borough
77,2530,Alaska,Haines Borough
78,2148,Alaska,Hoonah-Angoon Census Area
79,31974,Alaska,Juneau City and Borough
80,58708,Alaska,Kenai Peninsula Borough
81,13901,Alaska,Ketchikan Gateway Borough
82,12998,Alaska,Kodiak Island Borough
83,8314,Alaska,Kusilvak Census Area
84,1592,Alaska,Lake and Peninsula Borough
85,108317,Alaska,Matanuska-Susitna Borough
86,10004,Alaska,Nome Census Area
87,9832,Alaska,North Slope Borough
88,7621,Alaska,Northwest Arctic Borough
89,3266,Alaska,Petersburg Borough
90,6203,Alaska,Prince of Wales-Hyder Census Area
91,8493,Alaska,Sitka City and Borough
92,1183,Alaska,Skagway Municipality
93,6893,Alaska,Southeast Fairbanks Census Area
94,9202,Alaska,Valdez-Cordova Census Area
95,2502,Alaska,Wrangell City and Borough
96,579,Alaska,Yakutat City and Borough
97,5230,Alaska,Yukon-Koyukuk Census Area
98,7278717,Arizona,Arizona
99,71887,Arizona,Apache County
100,125922,Arizona,Cochise County
101,143476,Arizona,Coconino County
102,54018,Arizona,Gila County
103,38837,Arizona,Graham County
