population,state,county
55869,Alabama,Autauga
223234,Alabama,Baldwin
24686,Alabama,Barbour
22394,Alabama,Bibb
57826,Alabama,Blount
10101,Alabama,Bullock
19448,Alabama,Butler
113605,Alabama,Calhoun
33254,Alabama,Chambers
26196,Alabama,Cherokee
44428,Alabama,Chilton
12589,Alabama,Choctaw
23622,Alabama,Clarke
13235,Alabama,Clay
14910,Alabama,Cleburne
52342,Alabama,Coffee
55241,Alabama,Colbert
12067,Alabama,Conecuh
10663,Alabama,Coosa
37049,Alabama,Covington
13772,Alabama,Crenshaw
83768,Alabama,Cullman
49172,Alabama,Dale
37196,Alabama,Dallas
71513,Alabama,DeKalb
81209,Alabama,Elmore
36633,Alabama,Escambia
102268,Alabama,Etowah
16302,Alabama,Fayette
31362,Alabama,Franklin
26271,Alabama,Geneva
8111,Alabama,Greene
14651,Alabama,Hale
17205,Alabama,Henry
105882,Alabama,Houston
51626,Alabama,Jackson
658573,Alabama,Jefferson
13805,Alabama,Lamar
92729,Alabama,Lauderdale
32924,Alabama,Lawrence
164542,Alabama,Lee
98915,Alabama,Limestone
9726,Alabama,Lowndes
18068,Alabama,Macon
372909,Alabama,Madison
18863,Alabama,Marengo
29709,Alabama,Marion
96774,Alabama,Marshall
413210,Alabama,Mobile
20733,Alabama,Monroe
226486,Alabama,Montgomery
119679,Alabama,Morgan
8923,Alabama,Perry
19930,Alabama,Pickens
33114,Alabama,Pike
22722,Alabama,Randolph
57961,Alabama,Russell
89512,Alabama,St. Clair
217702,Alabama,Shelby
12427,Alabama,Sumter
79978,Alabama,Talladega
40367,Alabama,Tallapoosa
209355,Alabama,Tuscaloosa
63521,Alabama,Walker
16326,Alabama,Washington
10373,Alabama,Wilcox
23629,Alabama,Winston
3337,Alaska,Aleutians East Borough
5634,Alaska,Aleutians West Census Area
288000,Alaska,Anchorage Municipality
18386,Alaska,Bethel Census Area
836,Alaska,Bristol Bay Borough
2097,Alaska,Denali Borough
4916,Alaska,Dillingham Census Area
96849,Alaska,Fairbanks North Star Borough
2530,Alaska,Haines Borough
2148,Alaska,Hoonah-Angoon Census Area
31974,Alaska,Juneau City and Borough
58708,Alaska,Kenai Peninsula Borough
13901,Alaska,Ketchikan Gateway Borough
12998,Alaska,Kodiak Island Borough
8314,Alaska,Kusilvak Census Area
1592,Alaska,Lake and Peninsula Borough
108317,Alaska,Matanuska-Susitna Borough
10004,Alaska,Nome Census Area
9832,Alaska,North Slope Borough
7621,Alaska,Northwest Arctic Borough
3266,Alaska,Petersburg Borough
6203,Alaska,Prince of Wales-Hyder Census Area
8493,Alaska,Sitka City and Borough
1183,Alaska,Skagway Municipality
6893,Alaska,Southeast Fairbanks Census Area
9202,Alaska,Valdez-Cordova Census Area
2502,Alaska,Wrangell City and Borough
579,Alaska,Yakutat City and Borough
5230,Alaska,Yukon-Koyukuk Census Area
71887,Arizona,Apache
125922,Arizona,Cochise
143476,Arizona,Coconino
54018,Arizona,Gila
38837,Arizona,Graham
9498,Arizona,Greenlee
21108,Arizona,La Paz
4485414,Arizona,Maricopa
212181,Arizona,Mohave
110924,Arizona,Navajo
1047279,Arizona,Pima
462789,Arizona,Pinal
46498,Arizona,Santa Cruz
235099,Arizona,Yavapai
213787,Arizona,Yuma
17486,Arkansas,Arkansas
19657,Arkansas,Ashley
41932,Arkansas,Baxter
279141,Arkansas,Benton
37432,Arkansas,Boone
10763,Arkansas,Bradley
5189,Arkansas,Calhoun
28380,Arkansas,Carroll
10118,Arkansas,Chicot
22320,Arkansas,Clark
14551,Arkansas,Clay
24919,Arkansas,Cleburne
7956,Arkansas,Cleveland
23457,Arkansas,Columbia
20846,Arkansas,Conway
110332,Arkansas,Craighead
63257,Arkansas,Crawford
47955,Arkansas,Crittenden
16419,Arkansas,Cross
7009,Arkansas,Dallas
11361,Arkansas,Desha
18219,Arkansas,Drew
126007,Arkansas,Faulkner
17715,Arkansas,Franklin
12477,Arkansas,Fulton
99386,Arkansas,Garland
18265,Arkansas,Grant
45325,Arkansas,Greene
21532,Arkansas,Hempstead
33771,Arkansas,Hot Spring
13202,Arkansas,Howard
37825,Arkansas,Independence
13629,Arkansas,Izard
16719,Arkansas,Jackson
66824,Arkansas,Jefferson
26578,Arkansas,Johnson
6624,Arkansas,Lafayette
16406,Arkansas,Lawrence
8857,Arkansas,Lee
13024,Arkansas,Lincoln
12259,Arkansas,Little River
21466,Arkansas,Logan
73309,Arkansas,Lonoke
16576,Arkansas,Madison
16694,Arkansas,Marion
43257,Arkansas,Miller
40651,Arkansas,Mississippi
6701,Arkansas,Monroe
8986,Arkansas,Montgomery
8252,Arkansas,Nevada
7753,Arkansas,Newton
23382,Arkansas,Ouachita
10455,Arkansas,Perry
17782,Arkansas,Phillips
10718,Arkansas,Pike
23528,Arkansas,Poinsett
19964,Arkansas,Polk
64072,Arkansas,Pope
8062,Arkansas,Prairie
391911,Arkansas,Pulaski
17958,Arkansas,Randolph
24994,Arkansas,St. Francis
122437,Arkansas,Saline
10281,Arkansas,Scott
7881,Arkansas,Searcy
127827,Arkansas,Sebastian
17007,Arkansas,Sevier
17442,Arkansas,Sharp
12506,Arkansas,Stone
38682,Arkansas,Union
